notice_id,errors,flags,got_no_persons,got_nothing,labels,officers
355446,,,,1,,
356051,,,,1,,
356445,,3,1,,1,
358805,,,,1,,
358956,,,,1,,
359483,,3,1,,1,1
359491,,,1,,,2
361078,,,,1,,
361387,,,,1,,
363636,,1,1,,1,1
366088,,,,1,,
366532,,5,1,,1,1
366814,,,,1,,
368211,,3,1,,,
369449,,,,1,,
371023,,,1,,1,
371837,,,,1,,
372007,,1,1,,,1
375541,,,1,,1,
380804,,1,1,,1,
382052,,,1,,1,1
383430,,,1,,,2
383524,,,1,,1,
386193,,1,1,,,2
386649,,1,1,,1,
391854,,,,1,,
394326,,,,1,,
398123,,2,1,,1,1
398736,,,,1,,
398989,,,1,,3,
401332,,,1,,1,
401476,,,1,,1,1
402066,,3,1,,1,1
403119,,2,1,,,1
403637,,,1,,,2
403944,1,,1,,1,
405423,,,,1,,
410534,,4,1,,1,1
410932,,,,1,,
412016,,,,1,,
413582,,1,1,,,2
415451,,,1,,1,2
415651,,3,1,,1,2
416228,,,,1,,
417171,,,,1,,
418930,,,,1,,
419225,,,1,,1,2
422640,,,,1,,
424137,,1,1,,1,2
425891,,4,1,,1,1
426367,,1,1,,1,
426427,,,1,,1,
434388,,2,1,,1,3
434857,,1,1,,,
436370,,,,1,,
437111,,,1,,,1
437830,,,,1,,
437905,,,,1,,
438127,,1,1,,1,
438155,,,,1,,
438192,,,,1,,
438975,,,,1,,
439333,,,,1,,
439837,,,,1,,
440366,,,,1,,
440593,,,,1,,
440597,,,,1,,
440671,,,,1,,
441111,,,,1,,
441211,,,,1,,
441229,,,,1,,
441581,,,1,,1,6
441619,,4,1,,1,1
442086,,1,1,,1,2
442370,,,1,,1,1
442843,,,1,,1,
443128,,,1,,,1
443529,,,,1,,
444175,,3,1,,1,2
446552,,,1,,1,
446766,,,,1,,
448312,,1,1,,1,
450051,,3,1,,1,1
450115,,,,1,,
451838,,4,1,,1,2
452227,,4,1,,1,2
452268,,,1,,1,
454290,,,1,,1,
456669,,,,1,,
457322,,,1,,1,
461216,,8,1,,4,2
461726,,2,1,,1,1
463947,,1,1,,1,1
465548,,1,1,,1,
471436,,,1,,1,3
471757,,,1,,1,
471908,,,,1,,
472260,,,,1,,
472693,,2,1,,,
474307,,3,1,,1,1
474363,,3,1,,1,1
476522,,4,1,,1,1
477626,,,,1,,
477686,,,1,,1,
478317,,,1,,1,
478960,,,1,,1,
479921,,,,1,,
480486,,,1,,1,2
481489,,,1,,4,
481714,,5,1,,1,1
484147,,,1,,1,
487053,,,1,,1,2
488399,,,1,,1,
489765,,1,1,,,1
491194,,,1,,1,
495918,,,1,,1,
495931,,1,1,,,1
496081,,,1,,1,
498748,,2,1,,,1
499790,,,,1,,
505234,,,,1,,
505256,,2,1,,,
513204,,,,1,,
514918,,1,1,,1,2
515027,,2,1,,,
519787,,2,1,,1,1
520065,1,1,1,,,
521085,,3,1,,1,2
521846,,,1,,,2
524627,,,,1,,
524831,,,,1,,
527191,,,,1,,
527865,,,1,,1,
528790,,1,1,,,
531343,,,1,,1,
533058,,,,1,,
534425,,3,1,,1,1
535660,,3,1,,1,1
537808,,,,1,,
537918,,,,1,,
538016,,,,1,,
538279,,,,1,,
538584,,,,1,,
539225,,,,1,,
539382,,,,1,,
539538,,,,1,,
539776,,,,1,,
539788,,,,1,,
540069,,,,1,,
540260,,,,1,,
540482,,2,1,,1,1
540896,,,,1,,
540971,,,,1,,
541004,,,1,,1,
541084,,,,1,,
542305,,,,1,,
542626,,,,1,,
543076,,,,1,,
543784,,,,1,,
544237,,,,1,,
544748,,,,1,,
545845,,3,1,,1,1
546303,,,1,,1,
547163,,1,1,,1,
548981,,,,1,,
549272,,1,1,,1,2
551970,,2,1,,1,1
554173,,1,1,,,1
555240,,,,1,,
555974,,1,1,,1,1
561231,,,,1,,
564982,,,1,,,1
570669,,,1,,1,
572189,,,1,,,1
572774,,,,1,,
572912,,4,1,,1,
572998,,,1,,1,
574030,,,,1,,
578486,,,,1,,
579373,,,,1,,
583384,,1,1,,1,
586016,,,,1,,
586951,,1,1,,1,1
588351,,1,1,,1,
589196,,,1,,1,
590445,,1,1,,1,
595373,,,1,,,1
596452,,4,1,,1,1
598484,,,,1,,
600875,,3,1,,1,1
601545,,1,1,,,
602206,,,1,,1,
605611,,,1,,1,
606604,,,,1,,
606950,,,,1,,
607357,,,,1,,
607490,,,,1,,
608086,,,,1,,
608783,,,,1,,
609061,,,,1,,
609674,,,,1,,
609774,,2,1,,1,1
610200,,,,1,,
610409,,,,1,,
610483,,,,1,,
610818,,,,1,,
612121,,,,1,,
612347,,,,1,,
612897,,,,1,,
613026,,,,1,,
613107,,,,1,,
613966,,,,1,,
614303,,,,1,,
614392,,,,1,,
614549,,,,1,,
615015,,,,1,,
615091,,,,1,,
615107,,,,1,,
615338,,,,1,,
615955,,,,1,,
616135,,,,1,,
616763,,,,1,,
616842,,,,1,,
616908,,,,1,,
617946,,,,1,,
618015,,1,1,,,
618848,,,,1,,
619301,,,,1,,
619678,,,,1,,
619826,,,,1,,
621763,,,1,,1,
621786,,,1,,1,
626715,,,1,,,1
633297,,,,1,,
634659,1,,1,,1,1
637535,1,,1,,,
638386,,1,1,,,2
641622,,1,1,,,1
642617,,1,1,,,1
643050,,,,1,,
643541,,1,1,,,1
646041,,,1,,,1
648560,,,1,,1,
648740,,,1,,1,
649964,,,,1,,
652892,,3,1,,1,1
653686,,1,1,,,
654967,,,1,,,1
656671,1,2,1,,1,
657217,,,1,,,1
658454,,,,1,,
665990,,1,1,,,1
666784,1,1,1,,1,
667413,,1,1,,,
669939,,1,1,,,2
670970,,,,1,,
678403,,,1,,1,
683620,,,1,,1,1
688781,,3,1,,1,1
688794,,,,1,,
691228,,3,1,,,1
697549,,,,1,,
698228,,,,1,,
707134,,,1,,1,
710946,,,,1,,
712097,,4,1,,1,1
718839,,4,1,,1,1
724233,1,,1,,,
726951,,1,1,,,
730126,,,,1,,
743473,,,,1,,
748185,,,1,,1,
